Company Names,Cars Names,Engines,Battery Capacity_CC,HorsePower_hp,Total Speed_km/h,Performance(0 - 100 )KM/H,Fuel Types,Seats,Torque_Nm,Cars Prices_USD
BMW,I8 ROADSTER,ELECTRIC MOTOR,11.6 kwh,369 hp,250 km/h,4.4 sec,Hybrid,2,570 Nm,"$165,000"
BMW,330i,I4,"1,998 cc",255 hp,250 km/h,5.6 sec,Petrol,5,400 Nm,"$45,000"
BMW,M340i XDRIVE,I6,"2,998 cc",382 hp,250 km/h,4.1 sec,Petrol,5,500 Nm,"$57,000"
BMW,430i COUPE,I4,"1,998 cc",255 hp,250 km/h,5.8 sec,Petrol,4,400 Nm,"$48,000"
BMW,M4 COMPETITION,I6,"2,993 cc",503 hp,290 km/h,3.8 sec,Petrol,4,650 Nm,"$81,000"
BMW,530i,I4,"1,998 cc",248 hp,250 km/h,5.9 sec,Petrol,5,400 Nm,"$57,000"
BMW,M550i XDRIVE,V8,"4,395 cc",523 hp,250 km/h,3.6 sec,Petrol,5,650 Nm,"$78,000"
BMW,118i,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,Petrol,5,220 Nm,"$32,000"
BMW,128ti,I4,"1,998 cc",261 hp,250 km/h,6.1 sec,Petrol,5,400 Nm,"$42,000"
BMW,M135i XDRIVE,I4,"1,998 cc",302 hp,250 km/h,4.8 sec,Petrol,5,450 Nm,"$30,000"
BMW,116D,I3,"1,496 cc",116 hp,200 km/h,10.3 sec,Diesel,5,280 Nm,"$30,000"
BMW,120D XDRIVE,I4,"1,995 cc",190 hp,230 km/h,6.9 sec,Diesel,5,400 Nm,"$38,000"
BMW,116i,I3,"1,499 cc",109 hp,200 km/h,10.9 sec,Petrol,5,200 Nm,"$28,000"
BMW,118D,I4,"1,995 cc",150 hp,216 km/h,8.4 sec,Diesel,5,380 Nm,"$34,000"
BMW,120i,I4,"1,998 cc",178 hp,230 km/h,7.1  sec,Petrol,5,300 Nm,"$37,000"
BMW,125i,I4,"1,998 cc",224 hp,240 km/h,6.1 sec,Petrol,5,400 Nm,"$42,000"
BMW,114D,I3,"1,496 cc",95 hp,185 km/h,12.2 sec,Diesel,5,270 Nm,"$27,000"
BMW,114i,I4,"1,598 cc",102 hp,195 km/h,11.2 sec,Petrol,5,200 Nm,"$26,000"
BMW,125D,I4,"1,995 cc",224 hp,240 km/h,6.3 sec,Diesel,5,400 Nm,"$44,000"
BMW,118i XDRIVE,I3,"1,499 cc",136 hp,211 km/h,8.9 sec,Petrol,5,250 Nm,"$34,000"
BMW,116D EFFICIENTDYNAMICS,I3,"1,496 cc",116 hp,200 km/h,10.9 sec,Diesel,5,270 Nm,"$30,000"
BMW,118i SPORTLINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,Petrol,5,250 Nm,"$35,000"
BMW,118i M SPORT,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,Petrol,5,250 Nm,"$37,000"
BMW,120i M SPORT,I4,"1,998 cc",178 hp,230 km/h,7.1 sec,Petrol,5,300 Nm,"$39,000"
BMW,116i EFFICIENTDYNAMICS,I4,"1,598 cc",109 hp,195 km/h,10.9 sec,Petrol,5,200 Nm,"$29,000"
BMW,116D ADVANTAGE,I3,"1,496 cc",116 hp,200 km/h,10.5 sec,Diesel,5,270 Nm,"$31,000"
BMW,120D EFFICIENTDYNAMICS,I4,"1,995 cc",163 hp,225 km/h,7.7 sec,Diesel,5,400 Nm,"$39,000"
BMW,118i SHADOW LINE,I3,"1,499 cc",136 hp,213 km/h,8.5 sec,Petrol,5,250 Nm,"$36,000"
BMW,118D SPORT LINE,I4,"1,995 cc",150 hp,216 km/h,8.4 sec,Diesel,5,380 Nm,"$36,000"
BMW,120i XDRIVE,I4,"1,998 cc",178 hp,230 km/h,7.2 sec,Petrol,5,300 Nm,"$40,000"
BMW,114D SPORT LINE,I3,"1,496 cc",95 hp,185 km/h,12.2 sec,Diesel,5,270 Nm,"$28,000"
